audio_filename,transcript
nam/audio_028.wav,"kể từ khi xô viết và iran ký hiệp định đầu tiên về biển caspi. hai nước đã ký một số hiệp ước trong hai mươi năm tiếp theo. đặc biệt năm một ngàn chín trăm bốn mươi, hai nước đã tuyên bố rõ ràng, biển caspi là biển nội địa giữa liên xô và iran"
nam/audio_029.wav,năm một ngàn chín trăm chín mươi mốt sự tan rã đột ngột của liên xô đã ảnh hưởng đến tình hình yên tĩnh của biển caspi
nam/audio_030.wav,các quốc gia ven biển caspi đã thay đổi từ hai thành năm
nam/audio_031.wav,trong số năm quốc gia kazakhstan có bờ biển dài nhất và iran có bờ ngắn nhất
nam/audio_032.wav,nếu ranh giới được chia theo chiều rộng đông tây của biển caspi thì diện tích nước của iran cũng là nhỏ nhất
nam/audio_033.wav,sau khi công ước liên hợp quốc về luật biển năm một ngàn chín trăm chín mươi bốn có hiệu lực các tranh chấp về biển caspi ngày càng gia tăng
nam/audio_034.wav,"luật pháp quốc tế quy định rằng đối với một hồ. nếu là hồ ranh giới thì tài nguyên trong hồ sẽ được chia cho các nước xung quanh. hoặc nếu các nước sẽ chia đều tài nguyên trong hồ, thông qua thỏa thuận"
nam/audio_035.wav,"trong trường hợp đại dương, các quốc gia ven biển sẽ được hưởng vùng đặc quyền kinh tế hai trăm hải lý"
nam/audio_036.wav,"tất cả các nguồn tài nguyên trong khu kinh tế này, thuộc sở hữu độc quyền của quốc gia tương ứng. phần còn lại thuộc về vùng biển khơi, nơi các quốc gia trên thế giới có thể tự do điều hướng và khai thác mỏ"
nam/audio_037.wav,"theo đó, vùng biển phía nam nơi iran tọa lạc có tương đối ít tài nguyên dầu khí và rất khó phát triển. do vậy, iran tin rằng biển caspi thực chất là một cái hồ khổng lồ. ngoài ra, phần thuộc về lãnh thổ turkmenistan cũng có rất ít tài nguyên dầu khí"
nam/audio_038.wav,điều này đã khiến cho turkmenistan ủng hộ quan điểm của iran
nam/audio_039.wav,"các vùng biển của nga, kazakhstan và azerbaijan là tương đối giàu tài nguyên"
nam/audio_040.wav,họ xác định biển caspi là biển nội địa nên xác định vùng đặc quyền kinh tế của mỗi quốc gia phù hợp với công ước quốc tế về luật biển
nam/audio_041.wav,"tuy nhiên, do chiều rộng trung bình theo hướng đông tây của biển caspi chỉ khoảng ba trăm hai mươi ki lô mét tức là chỉ bằng khoảng cách hai trăm hải lý của vùng đặc quyền kinh tế, nên theo các quy định. vùng đặc quyền kinh tế của mỗi quốc gia ven biển kéo dài đến đường giữa của biển caspi, một trăm sáu mươi ki lô mét"
nam/audio_042.wav,"trong vùng đặc quyền kinh tế này, ba nước có thể độc lập khám phá, phát triển và sử dụng các nguồn tài nguyên thiên nhiên"
nam/audio_043.wav,năm một ngàn chín trăm chín mươi sáu năm nước caspi đã tiến hành các cuộc đàm phán đầu tiên về quy chế pháp lý của biển caspi
nam/audio_044.wav,"cuối cùng, cuộc đàm phán này không thu được kết quả gì, do sự chênh lệch quá lớn giữa phe biển và phe hồ"
nam/audio_045.wav,"năm hai ngàn không trăm lẻ hai, nga và azerbaijan hai nước theo phe biển đã ký một thỏa thuận về việc phân chia biển caspi theo phương thức, chia sẻ tài nguyên bề mặt và phân chia tài nguyên dưới nước"
nam/audio_046.wav,sau đó kazakhstan cũng chấp nhận ý kiến của nga và afghanistan
nam/audio_047.wav,sau nhiều lần đàm phán đến năm hai ngàn không trăm mười bốn cả năm nước đều chấp nhận phương thức phân chia biển caspi giữa nga và afghanistan
nam/audio_048.wav,cuối cùng vào năm hai ngàn không trăm mười tám năm quốc gia caspi đã ký công ước về quy chế pháp lý của biển caspi
nam/audio_049.wav,"công ước không định nghĩa biển caspi là biển, cũng như không phải là hồ ranh giới. xuất phát từ nhu cầu thực tế của các quốc gia. công ước đã kết hợp một cách sáng tạo khái niệm vùng đặc quyền kinh tế của đại dương với nguyên tắc chia sẻ tài nguyên của hồ"
nam/audio_050.wav,biển caspi đã trở thành một vùng nước không phải biển không phải là hồ với địa vị pháp lý đặc biệt
nam/audio_051.wav,"nếu các bạn thích vi đi ô lần này đừng quên nhấn like, share và subscribe để ủng hộ chúng mình nhé. cảm ơn các bạn đã lắng nghe và hẹn gặp lại các bạn ở những vi đi ô sắp tới"
nam/audio_052.wav,chào mừng các bạn đã quay trở lại với spiderum
nam/audio_053.wav,"đây là bài viết chăm sóc bản thân, vì mình và vì người của tác giả limitless đăng tải trên
 spiderum chấm "
nam/audio_054.wav,"còn mình là nam mời các bạn cùng
lắng nghe nội dung bài viết này nhé"
nam/audio_055.wav,chăm sóc bản thân vì mình
nam/audio_056.wav,"mình 
xa nhà cũng đã gần muời năm"
nam/audio_057.wav,"kể từ khi sang
 đây, mình mới bắt đầu chú trọng vào việc, 
chăm sóc bản thân"
nam/audio_058.wav,"không vì lý do gì khác, ngoài việc, một mình ở nơi xứ người, đổ bệnh ra đây, thì ai mà chăm"
nam/audio_059.wav,"đổ bệnh ra, thì phải nghỉ học, nghỉ làm"
nam/audio_060.wav,"ở đâu cũng vậy, nghĩ gì thì cũng tốn tiền"
nam/audio_061.wav,thế là mình cố gắng tập gym đều đặn nhất có thể
nam/audio_062.wav,ăn uống cũng điều độ và lành mạnh nhất có thể
nam/audio_063.wav,"không hút thuốc, ngủ đủ giấc, sờ kin ke thường xuyên"
nam/audio_064.wav,"rượu bia mình vốn đã không thích uống, bên này lại phạt cực nặng, ai vừa uống vừa lái xe"
nam/audio_065.wav,thậm chí có thể bỏ tù
nam/audio_066.wav,"nên từ khi sang đây, một năm may ra uống được hai lần"
nam/audio_067.wav,"trộm vía là bạn bè cũng toàn người không nhậu nhẹt, nên mỗi lần cũng được một hai chai bia là hết"
nam/audio_068.wav,"năm hai mươi lăm tuổi, về việt nam chơi đi tụ tập với lũ bạn"
nam/audio_069.wav,"đứa nào đứa nấy không gầy trơ xương, thì cũng thừa cân bụng bia"
nam/audio_070.wav,chợt thấy mình phong độ hẳn lên
nam/audio_071.wav,"dáng dấp dù không sáu múi, nhưng cũng ngon nghẻ hơn, cân đối hơn"
nam/audio_072.wav,"thế là có thêm lý do để chăm sóc bản thân là vẻ bề ngoài, cảm giác cũng tăng"
nam/audio_073.wav,"tới năm ba mươi, sau ba năm không về việt nam do cô vít"
nam/audio_074.wav,"về chơi thì thấy đứa thì bị bệnh về phổi, đứa thì bị dạ dày, có đứa còn bị cả gout"
nam/audio_075.wav,"mình trộm vía chẳng bệnh tật gì, sức bền cũng tốt, và đúng là trông trẻ hơn, so với lũ bạn cùng tuổi"
nam/audio_076.wav,"lúc đó mới nhận ra là mình đã coi việc không ốm đau này, là bình thường suốt bấy lâu nay"
nam/audio_077.wav,"mình thấy cái khó nhất của việc chăm sóc bản thân, là việc bạn sẽ không thấy tác dụng của nó ngay lập tức"
nam/audio_078.wav,"việc bóp mồm, bóp miệng, không uống trà sữa ngày hôm nay, không làm tan ngay cục mỡ trước bụng bạn"
nam/audio_079.wav,"việc bạn skincare đủ các bước tối nay, không làm xẹp đi quả mụn trên má vào ngày mai"
nam/audio_080.wav,"có lẽ chính vì vậy, mà rất nhiều người, già có, trẻ có, đã ưu tiên cái sướng, cái thỏa mãn của ngày hôm nay, vì cho rằng, có tập gym hay ăn uống điều độ, cũng chẳng có tác dụng gì"
nam/audio_081.wav,"vì họ chưa phải gánh hậu quả của bệnh tật, nên họ cho rằng những gì họ đang làm với chính bản thân mình là vô hại, thậm chí là còn tốt"
nam/audio_082.wav,"bạn của năm hay mười năm nữa, sẽ cám ơn bạn của bây giờ rất nhiều, nếu bạn từ chối thức thâu đêm suốt sáng với lũ bạn để chơi game"
nam/audio_083.wav,"từ chối đi nhậu cả tuần với đồng nghiệp, để thay vào đó đi gym, và còn cám ơn bạn, vì nhiều thứ khác, nếu bạn biết kìm cái cám dỗ đầy ngọt ngào ngoài kia và nghiêm túc chăm sóc bản thân hơn"
nam/audio_084.wav,"năm mười tám, mười chín tuổi, khi thoát ra khỏi vòng tay của bố mẹ để đi học đại học"
nam/audio_085.wav,mình cũng đã từng như vậy
nam/audio_086.wav,"thức khuya tới hai giờ, ba giờ sáng, để rồi dậy đi học vào bảy giờ ngày hôm sau"
nam/audio_087.wav,"luôn nhận kèo nhậu mỗi khi được gạ, vì nghĩ rằng, thể hiện mình uống nhiều mới là men lì, mới là chuẩn men"
nam/audio_088.wav,"có đi tập gym thì buổi đực buổi cái, cốt là để có cái ảnh check in, cơm thì bữa ăn bữa bỏ"
nam/audio_089.wav,"từ năm hai mươi tuổi trở đi, mình thay đổi lối sống đó, và tới giờ khi nhìn lại, so sánh với những người cùng tuổi hoặc thậm chí là trẻ hơn, mình thấy mình thật may mắn khi có một cơ thể khỏe mạnh như bây giờ"
nam/audio_090.wav,"cơ thể khỏe mạnh đem lại một tinh thần phấn chấn, một nhân sinh quan tích cực"
nam/audio_091.wav,và dù khó khăn nào tới bạn cũng tràn đầy năng lượng để xử lý một cách nhẹ nhàng và bình tĩnh
nam/audio_092.wav,chỉ cần một ngày nào đó bạn bị tắc một bên mũi thôi
nam/audio_093.wav,cả ngày đi làm bạn đã cảm thấy khó chịu và dễ bực bội với người khác rồi
nam/audio_094.wav,"đó là chưa kể, phong thái của một người khỏe mạnh và một người hay ốm yếu hoặc cơ thể thiếu, thừa cân nó cũng rất khác"
nam/audio_095.wav,chăm sóc bản thân vì người
nam/audio_096.wav,cách đây mười năm bố mình bị ung thư vòm họng
nam/audio_097.wav,"sau một thời gian chữa trị, tốn bao công sức và tiền của"
nam/audio_098.wav,ung thư của ông cuối cùng cũng hết
nam/audio_099.wav,"ngay khi biết tin mình hết ung thư, ông lại quay trở lại với thói quen uống rượu thay nước của mình, mặc cho mọi người thân can ngăn, cảnh báo rằng uống rượu liên tục vậy hại dạ dày lắm"
nam/audio_100.wav,"mới gần đây, ông đi khám và phát hiện mình lại bị ung thư dạ dày và u gần miệng thực quản"
nam/audio_101.wav,trong lúc ở bệnh viện chờ xếp phòng
nam/audio_102.wav,mẹ mình nói với bố
nam/audio_103.wav,"chúng ta là phận bố mẹ, đáng nhẽ thiên chức là phải giảm gánh nặng cho các con"
nam/audio_104.wav,"anh không biết tự chăm sóc bản thân mình, chưa nói tới bản thân anh khổ, các con anh phải chăm anh cũng khổ"
nam/audio_105.wav,"trong khi bọn nó bây giờ đang ở cái tuổi xây dựng sự nghiệp, chưa cái gì ổn định cả. chúng ta bây giờ mà đổ bệnh là quá sớm"
nam/audio_106.wav,câu nói này làm mình suy nghĩ rất nhiều
nam/audio_107.wav,"chưa bao giờ mình nghĩ rằng, từ trước tới giờ, việc chăm sóc bản thân mình còn giúp ích được cho cả người khác nữa"
nam/audio_108.wav,"mà đúng thật. nếu khi mình ở nước ngoài mà bỏ bê cơ thể, để rồi hay ốm đau bệnh tật"
nam/audio_109.wav,"chưa nói tới việc người nhà phải cho tiền để đi khám bệnh, bản thân bố mẹ ở nhà cũng phải lo lắng, thấp thỏm không yên"
nam/audio_110.wav,"mà kể cả bố mẹ có ngay cạnh thì với bố mẹ, chỉ cần thấy con ho khụ khụ thôi là đã xót, đã hỏi han chăm chút các kiểu"
nam/audio_111.wav,"lớn rồi, biết cái nào đúng, cái nào sai rồi"
nam/audio_112.wav,biết cái gì tốt và không tốt cho mình rồi
nam/audio_113.wav,"mà còn để bố mẹ phải lo lắng tới cái nhỏ nhặt như vậy, nghe có vẻ to tát nhưng quả thực là bất hiếu"
nam/audio_114.wav,ứng xa hơn thì chăm sóc bản thân cũng có ích cho cả mối quan hệ của bạn với người yêu
nam/audio_115.wav,"ừ thì khi mới yêu, mà lăn ra ốm á thì chăm nhau cũng là cách để tình cảm thêm khăng khít đấy"
nam/audio_116.wav,"nhưng mà nếu ốm nhiều quá, nhất là không phải vì cơ thể vốn vậy, mà là vì bạn buông thả bản thân, thì người yêu phải chăm bạn nhiều cũng mệt"
nam/audio_117.wav,"bạn sẽ không đóng góp được gì cho mối quan hệ, mà chỉ có người ấy phải đi chăm sóc bạn"
nam/audio_118.wav,"hai bạn cũng chẳng có cơ hội để tạo kỉ niệm ở nơi này nơi kia, mà thay vào đó là giường bệnh"
nam/audio_119.wav,"đó là chưa kể, bệnh tật vậy rồi thì chỉ muốn nghỉ ngơi, chứ sức đâu mà vui vẻ giao tiếp, mà kết nối, có khi lại còn giận cá chém thớt, càng đẩy xa người kia ra xa khỏi mình hơn"
nam/audio_120.wav,"rồi sau này, khi mình có con cái thì sao"
nam/audio_121.wav,"lúc con còn nhỏ mà mình để cho bản thân hay bị ốm vặt, thì việc chăm con sẽ trở nên khó khăn hơn"
nam/audio_122.wav,"đã ốm đau thì sẽ không dậy trong đêm dỗ con ngủ được, không đủ kiên nhẫn để chơi với con, từ tốn giải thích với con như bình thường, mà chỉ vài câu là quát tháo và bắt con im lặng, tự chơi một mình"
nam/audio_123.wav,"dễ ốm đau thì tâm trạng lúc nào cũng khó chịu, vợ chồng dễ cãi cọ, từ đó không khí gia đình không êm ấm, ảnh hưởng rất nhiều tới tâm lý con trẻ"
nam/audio_124.wav,"xui xẻo mà cả hai vợ chồng cùng sống buông thả như nhau thì cùng ốm như nhau, lúc đó lại phải nhờ tới sự giúp đỡ của ông bà"
nam/audio_125.wav,"tức là ở cái độ tuổi mà ông bà đáng nhẽ nên được nghỉ ngơi, đi chơi, có chơi với cháu thì cũng chơi một lúc thôi, thì lại phải nai lưng ra trông với chăm cả ngày, thậm chí là mấy ngày trời"
nam/audio_126.wav,mình còn trẻ mà chăm đứa cháu một ngày thôi đã thấy mệt nữa là ông bà
nam/audio_127.wav,"rồi giả như lúc đó ông bà cũng ngã bệnh thì sao, ai chăm ông bà đây, ai chăm con mình"
nam/audio_128.wav,"tới khi con cái lớn hơn, trong quá trình xây dựng sự nghiệp, có quá nhiều điều nó phải lo, phải dành thời gian tập trung vào. mình mà đổ bệnh ra đấy, kể cả có thừa tiền để thuê người chăm sóc á, thì phận làm con, chúng vẫn không thể không tới, không chăm thì chí ít cũng thăm hỏi thường xuyên"
nam/audio_129.wav,thế là tự dưng mình lại gây ra thêm gánh nặng cho nó
nam/audio_130.wav,có bảo không sao đâu. bố mẹ tự lo được
nam/audio_131.wav,"mà nó không đến thật thì lại tủi thân, bảo nó vô tâm, vô ơn"
nam/audio_132.wav,"rồi tới lúc mà con mình nó lập gia đình, có cháu có chắt ở đấy, mình mà không có sức khỏe thì cũng chẳng đi chơi được với chúng nó, chẳng tạo được kỉ niệm gì đẹp đẽ cho chúng nó"
nam/audio_133.wav,"thử tưởng tượng bạn là cháu, được đưa tới với ông bà mà lúc nào cũng thấy ông bà nằm ở giường, nói năng khó khăn"
nam/audio_134.wav,"bạn líu lo nói chuyện thì bị người lớn bảo, thôi ra chỗ khác cho ông bà nghỉ. thế là có lẽ cả đời bạn cũng chẳng biết ông bà là người thế nào, yêu thương mình ra sao, vì nào có được nói chuyện hay chơi với ông bà đâu"
zephyr/audio_001.wav,"trên con đường lát đá, những bước chân nhỏ dần biến mất trong làn sương mỏng"
zephyr/audio_002.wav,"trên con đường đá rêu phong, tiếng bước chân vọng lại lẫn trong tiếng gió chiều se lạnh khiến lòng người bâng khuâng"
zephyr/audio_003.wav,"mỗi sáng sớm, khi mặt trời chưa kịp ló rạng, mùi cà phê thơm dịu đã lan khắp căn bếp nhỏ thân quen"
zephyr/audio_004.wav,"gió thổi nhẹ qua những tán cây trước hiên nhà, làm rơi vài chiếc lá vàng xoay xoay trong ánh nắng sớm"
zephyr/audio_005.wav,"cô bé ngồi trước hiên nhà, ôm con mèo nhỏ, mắt mơ màng nhìn bầu trời xanh thẳm không gợn mây"
zephyr/audio_006.wav,"anh ấy đứng lặng hồi lâu dưới mái hiên, tay cầm tách trà nóng, ánh mắt dõi theo từng hạt mưa rơi"
zephyr/audio_007.wav,"khi mùa xuân trở về, cây cối như tỉnh dậy sau giấc ngủ dài, đâm chồi nảy lộc đầy sức sống"
zephyr/audio_008.wav,"bầu trời trong xanh đến lạ, không một áng mây, chỉ còn tiếng chim hót vang vọng từ xa"
zephyr/audio_009.wav,"mỗi lần trở về quê, tôi lại thấy lòng mình nhẹ nhõm như được gột rửa bởi mùi bếp rơm và tiếng mẹ gọi"
zephyr/audio_010.wav,"bà thường kể tôi nghe chuyện cổ tích trong những đêm mất điện, giọng trầm đều làm tôi dễ ngủ"
